Nombre,Fecha de inicio,Fecha de fin,Hora de inicio,Hora de fin,Barrio,Más información,Descripción,Tipo de evento,Tipo de público,Lugar,Lat,Lon
"Actividades por el Día del Consumidor",2020-03-11,,2020-03-19,,"Centro",https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=2250,"Datos de interés Descripción Con motivo del Día Mundial de los Derechos de los Consumidores que se celebrará el próximo 15 de marzo, la Oficina Municipal de Información al Consumidor (OMIC) organiza las siguientes actividades: • Charla: Electricidad: pautas para pagar menos. Miércoles 11 de marzo, de 18 a 20 h, en el Centro Cultural Pablo Iglesias. • Excursión a una fábrica de quesos. Jueves 12 de marzo, de 9 a 14 h, en Miraflores de la Sierra. • Excursión a la fábrica de chocolates Eureka. Martes 17 de marzo, de 9 a 14 h, en Pinto. • Charla: Testamentos y herencias. Jueves 19 de marzo, de 18 a 19:30 h, en el Centro Cultural Pablo Iglesias.  INSCRIPCIÓN: gratuita, hasta completar aforo, en el teléfono 91 663 70 01 (extensiones 4054 y 4055). ","Orientación y Servicios al Consumidor,Jornadas y Conferencias","","Varios",,
"Alcobendas en forma, deporte al aire libre",2016-09-26,,2025-12-30,,"Urbanizaciones",https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=2990,"Datos de interés Descripción Se trata de promover el ejercicio físico saludable en espacios naturales (por lo que se ha elegido el Arroyo de la Vega), y que los usuarios mejoren el control y el tono muscular, conozcan normas básicas de higiene postural, reconozcan las limitaciones propias e cada uno, y se integren dentro de un grupo. La actividad está guiada por técnicos deportivos del Ayuntamiento. Una sesión estándar se compone de 10 minutos de calentamiento, 40 de actividad (carrera, movilidad, ritmo, entrenamiento de fuerza, mantenimiento...) y otros 10 minutos de estiramientos. Horario Los lunes y miércoles, de 11:30 a 12:30 h, y los martes y jueves por la tarde, de 19 a 20 h. Inscripción No es necesaria inscripción, basta con llevar ropa y calzado deportivo, y sumarse al resto de usuarios. Precio Gratuito Lugar","Servicios Deportes,Mayores,Otros Salud,Otros,Otras actividades culturales","Público general","Jardín de la Vega",40.53691003,-3.62862778
